policy_id,product,region,age,exposure,premium
1001,Basic,DXB,31,1,121.1
1002,Basic,AUH,23,0.5,105
1003,Premium,DXB,58,1,171.92
1004,Premium,AUH,22,1,120.75
1005,Premium,DXB,31,0.75,127.765
1006,Basic,DXB,62,1,155.2
1007,Basic,AUH,33,1,118.15
1008,Premium,DXB,50,1,161.8
1009,Premium,AUH,20,1,130.75
1010,Premium,DXB,19,1,136.5
1011,Basic,DXB,47,1,138.7
1012,Basic,AUH,35,1,120.25
1013,Premium,DXB,24,1,126.5
1014,Premium,AUH,43,1,136.4475
1015,Premium,DXB,62,1,166.98
1016,Basic,DXB,44,1,135.4
1017,Basic,AUH,57,1,133.35
1018,Premium,DXB,24,1,126.5
1019,Premium,AUH,33,1,134.3725
1020,Premium,DXB,54,1,156.86
1021,Basic,DXB,30,1,110
1022,Basic,AUH,39,1,124.45
1023,Premium,DXB,54,1,166.86
1024,Premium,AUH,39,1,131.6175
1025,Premium,DXB,49,1,160.535
1026,Basic,DXB,22,1,120
1027,Basic,AUH,41,1,126.55
1028,Premium,DXB,44,1,144.21
1029,Premium,AUH,43,1,136.4475
1030,Premium,DXB,58,1,171.92
1031,Basic,DXB,33,1,123.3
1032,Basic,AUH,32,1,117.1
1033,Premium,DXB,22,1,136.5
1034,Premium,AUH,21,1,120.75
1035,Premium,DXB,45,1,145.475
1036,Basic,DXB,31,1,111.1
1037,Basic,AUH,64,1,150.7
1038,Premium,DXB,43,1,142.945
1039,Premium,AUH,50,1,144.9
1040,Premium,DXB,37,1,135.355
1041,Basic,DXB,23,1,120
1042,Basic,AUH,46,1,131.8
1043,Premium,DXB,56,1,169.39
1044,Premium,AUH,33,1,134.3725
1045,Premium,DXB,28,1,136.5
1046,Basic,DXB,29,1,110
1047,Basic,AUH,56,1,142.3
1048,Premium,DXB,32,1,139.03
1049,Premium,AUH,55,1,150.9375
1050,Premium,DXB,55,1,158.125
1051,Basic,DXB,21,1,120
1052,Basic,AUH,52,1,128.1
1053,Premium,DXB,35,1,142.825
1054,Premium,AUH,21,1,130.75
1055,Premium,DXB,53,1,165.595
1056,Basic,DXB,43,1,124.3
1057,Basic,AUH,46,1,121.8
1058,Premium,DXB,40,1,149.15
1059,Premium,AUH,25,1,130.75
1060,Premium,DXB,58,1,161.92
1061,Basic,DXB,44,1,125.4
1062,Basic,AUH,28,1,115
1063,Premium,DXB,48,1,159.27
1064,Premium,AUH,51,1,156.1075
1065,Premium,DXB,51,1,163.065
1066,Basic,DXB,54,1,136.4
1067,Basic,AUH,30,1,105
1068,Premium,DXB,29,1,136.5
1069,Premium,AUH,30,1,130.75
1070,Premium,DXB,48,1,159.27
1071,Basic,DXB,59,1,151.9
1072,Basic,AUH,43,1,128.65
1073,Premium,DXB,46,1,146.74
1074,Premium,AUH,27,1,130.75
1075,Premium,DXB,64,1,179.51
1076,Basic,DXB,53,1,135.3
1077,Basic,AUH,48,1,123.9
1078,Premium,DXB,49,1,150.535
1079,Premium,AUH,30,1,120.75
1080,Premium,DXB,37,1,135.355
1081,Basic,DXB,29,1,120
1082,Basic,AUH,43,1,128.65
1083,Premium,DXB,44,1,154.21
1084,Premium,AUH,57,1,153.3525
1085,Premium,DXB,26,1,136.5
1086,Basic,DXB,37,1,127.7
1087,Basic,AUH,39,1,114.45
1088,Premium,DXB,45,1,155.475
1089,Premium,AUH,36,1,127.995
1090,Premium,DXB,39,1,137.885
1091,Basic,DXB,39,1,119.9
1092,Basic,AUH,47,1,122.85
1093,Premium,DXB,50,1,151.8
1094,Premium,AUH,55,1,150.9375
1095,Premium,DXB,58,1,161.92
1096,Basic,DXB,63,1,146.3
1097,Basic,AUH,58,1,144.4
1098,Premium,DXB,44,1,144.21
1099,Premium,AUH,60,1,156.975
1100,Premium,DXB,26,1,126.5
1101,Basic,DXB,51,1,133.1
1102,Basic,AUH,26,1,115
1103,Premium,DXB,19,1,136.5
1104,Premium,AUH,31,1,131.9575
1105,Premium,DXB,30,1,136.5
1106,Basic,DXB,56,1,148.6
1107,Basic,AUH,53,1,129.15
1108,Premium,DXB,57,1,160.655
1109,Premium,AUH,61,1,158.1825
1110,Premium,DXB,47,1,158.005
1111,Basic,DXB,36,1,126.6
1112,Basic,AUH,60,1,136.5
1113,Premium,DXB,24,1,126.5
1114,Premium,AUH,46,1,150.07
1115,Premium,DXB,25,1,136.5
1116,Basic,DXB,22,1,120
1117,Basic,AUH,48,1,123.9
1118,Premium,DXB,22,1,136.5
1119,Premium,AUH,46,1,140.07
1120,Premium,DXB,23,1,126.5
1121,Basic,DXB,64,1,157.4
1122,Basic,AUH,34,1,109.2
1123,Premium,DXB,36,1,134.09
1124,Premium,AUH,31,1,121.9575
1125,Premium,DXB,23,1,136.5
1126,Basic,DXB,51,1,143.1
1127,Basic,AUH,20,1,105
1128,Premium,DXB,61,1,175.715
1129,Premium,AUH,52,1,147.315
1130,Premium,DXB,52,1,164.33
1131,Basic,DXB,47,1,128.7
1132,Basic,AUH,54,1,140.2
1133,Premium,DXB,41,1,150.415
1134,Premium,AUH,22,1,130.75
1135,Premium,DXB,31,1,127.765
1136,Basic,DXB,61,1,154.1
1137,Basic,AUH,43,1,118.65
1138,Premium,DXB,35,1,142.825
1139,Premium,AUH,36,1,127.995
1140,Premium,DXB,64,1,179.51
1141,Basic,DXB,23,1,110
1142,Basic,AUH,34,1,109.2
1143,Premium,DXB,54,1,156.86
1144,Premium,AUH,36,1,137.995
1145,Premium,DXB,30,1,126.5
1146,Basic,DXB,51,1,133.1
1147,Basic,AUH,55,1,141.25
1148,Premium,DXB,36,1,144.09
1149,Premium,AUH,20,1,120.75
1150,Premium,DXB,53,1,165.595
1151,Basic,DXB,56,1,138.6
1152,Basic,AUH,35,1,120.25
1153,Premium,DXB,21,1,136.5
1154,Premium,AUH,24,1,120.75
1155,Premium,DXB,61,1,165.715
1156,Basic,DXB,59,1,141.9
1157,Basic,AUH,40,1,115.5
1158,Premium,DXB,60,1,174.45
1159,Premium,AUH,38,1,140.41
1160,Premium,DXB,41,1,150.415
1161,Basic,DXB,36,1,126.6
1162,Basic,AUH,57,1,143.35
1163,Premium,DXB,64,1,179.51
1164,Premium,AUH,33,1,124.3725
1165,Premium,DXB,41,1,150.415
1166,Basic,DXB,25,1,120
1167,Basic,AUH,50,1,126
1168,Premium,DXB,50,1,151.8
1169,Premium,AUH,48,1,152.485
1170,Premium,DXB,62,1,176.98
1171,Basic,DXB,44,1,125.4
1172,Basic,AUH,30,1,105
1173,Premium,DXB,21,1,126.5
1174,Premium,AUH,64,1,171.805
1175,Premium,DXB,64,1,169.51
1176,Basic,DXB,29,1,110
1177,Basic,AUH,55,1,141.25
1178,Premium,DXB,51,1,163.065
1179,Premium,AUH,54,1,149.73
1180,Premium,DXB,61,1,175.715
1181,Basic,DXB,24,1,110
1182,Basic,AUH,64,1,150.7
1183,Premium,DXB,21,1,136.5
1184,Premium,AUH,55,1,160.9375
1185,Premium,DXB,33,1,140.295
1186,Basic,DXB,52,1,134.2
1187,Basic,AUH,43,1,118.65
1188,Premium,DXB,45,1,145.475
1189,Premium,AUH,42,1,145.24
